GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41001950100,"Census Tract 9501, Baker County, Oregon",3110,11,553,2556
41001950200,"Census Tract 9502, Baker County, Oregon",3127,0,297,2830
41001950300,"Census Tract 9503, Baker County, Oregon",2553,9,449,2095
41001950400,"Census Tract 9504, Baker County, Oregon",2666,62,373,2262
41001950500,"Census Tract 9505, Baker County, Oregon",2787,498,326,1986
41001950600,"Census Tract 9506, Baker County, Oregon",1787,15,341,1436
41003000100,"Census Tract 1, Benton County, Oregon",8291,36,1796,6460
41003000202,"Census Tract 2.02, Benton County, Oregon",4819,0,539,4280
41003000400,"Census Tract 4, Benton County, Oregon",7596,8,956,6640
41003000500,"Census Tract 5, Benton County, Oregon",3334,64,417,2893
41003000600,"Census Tract 6, Benton County, Oregon",4136,128,1004,3004
41003000900,"Census Tract 9, Benton County, Oregon",5347,41,1026,4280
41003001001,"Census Tract 10.01, Benton County, Oregon",4212,25,1201,3009
41003001002,"Census Tract 10.02, Benton County, Oregon",3239,20,907,2332
41003001101,"Census Tract 11.01, Benton County, Oregon",3896,938,2011,1008
41003001102,"Census Tract 11.02, Benton County, Oregon",4873,429,2452,2112
41003010100,"Census Tract 101, Benton County, Oregon",8774,0,255,8519
41003010200,"Census Tract 102, Benton County, Oregon",4515,0,437,4078
41003010300,"Census Tract 103, Benton County, Oregon",3398,0,338,3060
41003010400,"Census Tract 104, Benton County, Oregon",4032,10,481,3551
41003010600,"Census Tract 106, Benton County, Oregon",5171,2198,1516,1510
41003010702,"Census Tract 107.02, Benton County, Oregon",3697,1702,783,1212
41003010800,"Census Tract 108, Benton County, Oregon",3600,22,843,2742
41003010900,"Census Tract 109, Benton County, Oregon",4525,0,703,3814
41005020100,"Census Tract 201, Clackamas County, Oregon",3872,0,238,3622
41005020200,"Census Tract 202, Clackamas County, Oregon",6458,0,522,5936
41005020302,"Census Tract 203.02, Clackamas County, Oregon",3876,18,250,3615
41005020303,"Census Tract 203.03, Clackamas County, Oregon",5236,54,503,4679
41005020304,"Census Tract 203.04, Clackamas County, Oregon",5629,0,489,5128
41005020401,"Census Tract 204.01, Clackamas County, Oregon",5407,53,199,5150
41005020403,"Census Tract 204.03, Clackamas County, Oregon",3435,19,72,3355
41005020404,"Census Tract 204.04, Clackamas County, Oregon",3892,7,101,3779
41005020501,"Census Tract 205.01, Clackamas County, Oregon",7250,63,328,6841
41005020503,"Census Tract 205.03, Clackamas County, Oregon",2263,0,171,2092
41005020504,"Census Tract 205.04, Clackamas County, Oregon",6494,20,243,6119
41005020505,"Census Tract 205.05, Clackamas County, Oregon",2638,78,223,2354
41005020600,"Census Tract 206, Clackamas County, Oregon",8602,40,476,8126
41005020700,"Census Tract 207, Clackamas County, Oregon",3905,16,289,3616
41005020800,"Census Tract 208, Clackamas County, Oregon",4289,79,511,3730
41005020900,"Census Tract 209, Clackamas County, Oregon",3958,40,420,3499
41005021000,"Census Tract 210, Clackamas County, Oregon",4556,16,786,3744
41005021100,"Census Tract 211, Clackamas County, Oregon",5826,116,578,5176
41005021200,"Census Tract 212, Clackamas County, Oregon",3807,71,512,3184
41005021300,"Census Tract 213, Clackamas County, Oregon",5736,36,564,5144
41005021400,"Census Tract 214, Clackamas County, Oregon",4663,90,497,4166
41005021500,"Census Tract 215, Clackamas County, Oregon",4977,71,305,4665
41005021601,"Census Tract 216.01, Clackamas County, Oregon",6168,36,1785,4332
41005021602,"Census Tract 216.02, Clackamas County, Oregon",5157,12,834,4304
41005021700,"Census Tract 217, Clackamas County, Oregon",6386,90,687,5692
41005021801,"Census Tract 218.01, Clackamas County, Oregon",5837,156,185,5652
41005021802,"Census Tract 218.02, Clackamas County, Oregon",4222,22,724,3423
41005021900,"Census Tract 219, Clackamas County, Oregon",3655,16,725,2878
41005022000,"Census Tract 220, Clackamas County, Oregon",6774,91,594,6116
41005022101,"Census Tract 221.01, Clackamas County, Oregon",6978,133,940,5968
41005022103,"Census Tract 221.03, Clackamas County, Oregon",6644,16,255,6389
41005022105,"Census Tract 221.05, Clackamas County, Oregon",6127,34,370,5738
41005022107,"Census Tract 221.07, Clackamas County, Oregon",4412,10,580,3812
41005022108,"Census Tract 221.08, Clackamas County, Oregon",2812,48,556,2247
41005022201,"Census Tract 222.01, Clackamas County, Oregon",5057,121,966,3772
41005022205,"Census Tract 222.05, Clackamas County, Oregon",3683,12,241,3435
41005022206,"Census Tract 222.06, Clackamas County, Oregon",6654,25,458,6163
41005022207,"Census Tract 222.07, Clackamas County, Oregon",6098,0,215,5883
41005022208,"Census Tract 222.08, Clackamas County, Oregon",6686,14,379,6307
41005022301,"Census Tract 223.01, Clackamas County, Oregon",3983,23,379,3556
41005022302,"Census Tract 223.02, Clackamas County, Oregon",5455,16,564,4827
41005022400,"Census Tract 224, Clackamas County, Oregon",4132,125,345,3705
41005022500,"Census Tract 225, Clackamas County, Oregon",8044,170,1582,6318
41005022602,"Census Tract 226.02, Clackamas County, Oregon",4226,10,217,4e3
41005022603,"Census Tract 226.03, Clackamas County, Oregon",4319,0,310,4001
41005022605,"Census Tract 226.05, Clackamas County, Oregon",7875,445,352,7045
41005022606,"Census Tract 226.06, Clackamas County, Oregon",4509,13,421,4045
41005022702,"Census Tract 227.02, Clackamas County, Oregon",7114,0,292,6822
41005022707,"Census Tract 227.07, Clackamas County, Oregon",4807,13,332,4473
41005022708,"Census Tract 227.08, Clackamas County, Oregon",4434,0,265,4133
41005022710,"Census Tract 227.10, Clackamas County, Oregon",2460,17,302,2117
41005022800,"Census Tract 228, Clackamas County, Oregon",3807,0,139,3660
41005022901,"Census Tract 229.01, Clackamas County, Oregon",3205,6,80,3101
41005022904,"Census Tract 229.04, Clackamas County, Oregon",3754,38,761,2960
41005022905,"Census Tract 229.05, Clackamas County, Oregon",4413,0,324,4082
41005022906,"Census Tract 229.06, Clackamas County, Oregon",2938,58,118,2765
41005022907,"Census Tract 229.07, Clackamas County, Oregon",4402,5,712,3690
